start values, python addition, python multiplication
7.8823597906e-25,1.57647195812e-24,6.21315958685e-49,rip
1.29958142501e-24,2.59916285002e-24,1.68891188022e-48,rip
2.14264753842e-24,4.28529507683e-24,4.59093847388e-48,rip
3.5326285722e-24,7.0652571444e-24,1.24794646291e-47,rip
5.82431986847e-24,1.16486397369e-23,3.39227019303e-47,rip
9.60268005451e-24,1.9205360109e-23,9.22114642293e-47,rip
1.58321428616e-23,3.16642857232e-23,2.5065674759e-46,rip
2.61027906967e-23,5.22055813934e-23,6.81355682155e-46,rip
4.30362262462e-23,8.60724524925e-23,1.85211676952e-45,rip
7.09547416228e-23,1.41909483246e-22,5.03457535876e-45,rip
1.16984591771e-22,2.33969183541e-22,1.36853947117e-44,rip
1.92874984796e-22,3.85749969593e-22,3.72007597602e-44,rip
3.1799709002e-22,6.3599418004e-22,1.01122149261e-43,rip
5.24288566336e-22,1.04857713267e-21,2.74878500791e-43,rip
8.64405711304e-22,1.72881142261e-21,7.47197233734e-43,rip
1.42516408274e-21,2.85032816548e-21,2.03109266273e-42,rip
2.34969833745e-21,4.69939667491e-21,5.52108227703e-42,rip
3.87399762869e-21,7.74799525737e-21,1.50078576271e-41,rip
6.38714229306e-21,1.27742845861e-20,4.07955866718e-41,rip
1.05306173576e-20,2.10612347151e-20,1.10893901931e-40,rip
1.7362052831e-20,3.4724105662e-20,3.01440878507e-40,rip
2.86251858055e-20,5.7250371611e-20,8.19401262399e-40,rip
4.71949527153e-20,9.43899054305e-20,2.2273635618e-39,rip
7.78113224113e-20,1.55622644823e-19,6.0546018954e-39,rip
1.28289182361e-19,2.56578364722e-19,1.64581143108e-38,rip
2.11513103759e-19,4.23026207518e-19,4.47377930618e-38,rip
3.48726153199e-19,6.97452306399e-19,1.21609929925e-37,rip
5.74952226429e-19,1.14990445286e-18,3.30570062676e-37,rip
9.4793596535e-19,1.8958719307e-18,8.98582594405e-37,rip
1.56288218933e-18,3.12576437867e-18,2.44260073774e-36,rip
